signal,kind,pillar,transport,emitted_by,description,use,verified_live,proven_live,unit_test,drawn_on_dashboard,GAP
esq.svc.acct.save,span,metrics+tracing,push+poll,pacMan,@EsqTraced on the pacMan account save.,Span + timer for an account write.,METERS_CONDITIONAL,YES,,,
esq.svc.acct.tx,span,metrics+tracing,push+poll,pacMan,Span around the pacMan acct transaction processor (EsqTraceMark).,Domain-op visibility in a trace.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.svc.cache,span,metrics+tracing,push+poll,bizTree,Span+timer around the LEGACY director's cache apply (BizTreeDirectorLegacy.onEntityBroadcast -> the handler hub). CONFIG-CONDITIONAL: only exists when BIZTREE_DIRECTOR=legacy.,"The emergency switch-back path's instrumentation. `legacy` is the CODE default and is kept deliberately (v1.2.5 Taijitu refactor: 'kept in tree for emergency switch-back'); compose/k8s run taijitu, which builds its own MessageHandlerHub -- so dispatch fires while this mark cannot, and NO driver can light it. Do not read that as dead and delete it: a switch-back is exactly when you want the trace.",METERS_CONDITIONAL,n/a (BIZTREE_DIRECTOR=legacy),,,
esq.svc.create,span,metrics+tracing,push+poll,enyMan,@EsqTraced on the enyMan entity create.,Span + timer for entity creation.,METERS_CONDITIONAL,NO,MesnieMeterOwnerTest.java,,NOT-PROVEN
esq.svc.delete,span,metrics+tracing,push+poll,enyMan,@EsqTraced on the enyMan entity delete.,Span + timer for entity deletion.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.svc.key.read,span,metrics+tracing,push+poll,keySmith,@EsqTraced on the keySmith key read.,Span + timer for a permission/key read.,METERS_CONDITIONAL,YES,MesnieMeterOwnerTest.java,,
esq.svc.key.save,span,metrics+tracing,push+poll,keySmith,@EsqTraced on the keySmith key save.,Span + timer for a permission write.,METERS_CONDITIONAL,NO,MesnieMeterOwnerTest.java,,NOT-PROVEN
esq.svc.move,span,metrics+tracing,push+poll,enyMan,@EsqTraced on the enyMan move (the REQUEST leg; the queue worker's own outcome is esq.biz.move.processed/failed).,Span + timer for accepting a move -- NOT whether the move itself succeeded.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.svc.node,span,metrics+tracing,push+poll,bizTree; gateWard,"The single-node read -- bizTree, and the gate cache on compact.",Span + timer for one entity node.,METERS_CONDITIONAL,YES,,,
esq.svc.path,span,metrics+tracing,push+poll,bizTree; gateWard,"The path read -- bizTree, and the gate cache on compact.",Span + timer for an entity path resolve.,METERS_CONDITIONAL,YES,,,
esq.svc.read,span,metrics+tracing,push+poll,enyMan,@EsqTraced on the enyMan entity read.,Span + timer for a single entity read.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.svc.save,span,metrics+tracing,push+poll,enyMan,@EsqTraced on the enyMan entity save.,Span + timer for the write path.,METERS_CONDITIONAL,YES,,,
esq.svc.subtree,span,metrics+tracing,push+poll,bizTree; gateWard,"The subtree read -- bizTree, and the gate cache on compact.",Span + timer for a subtree slice.,METERS_CONDITIONAL,YES,,,
esq.svc.tree,span,metrics+tracing,push+poll,bizTree; enyMan; gateWard,"The tree read -- bizTree's controller and service, and the gate cache on compact.",The single most-called read: the whole entity tree. Span + esq_svc_tree_seconds timer.,METERS_CONDITIONAL,NO,GateWardMeterOwnerTest.java;MesnieMeterOwnerTest.java;O11yMeterDriftTest.java,,NOT-PROVEN
esq_bff_inbound_duration_seconds,histogram,metrics,poll,BFF,BFF INBOUND request duration by method / coarse route / status.,The user-facing total at the BFF tier.,METERS_EXPECTED,YES,,"BFF p95 latency by route;BFF request rate by replica;The system -- every component, live",
esq_bff_outbound_duration_seconds,histogram,metrics,poll,BFF,"BFF -> gateway OUTBOUND leg, BOTH paths (the cacheable-GET fetch and the streaming proxy), by outcome. New in I42/L8+L9.","The BFF<->gw hop's OWN number -- the one hop in the whole REST collaboration that had none, while its twin (gw<->srv) had a band. Drawn as the outermost RAW layer. Deliberately NOT a derived band: the gateway also serves direct Token Relay clients, so esq.bff.outbound - gw.outer would compare two populations.",METERS_EXPECTED,YES,,Request latency bands -- RAW (avg ms by layer),
messaging.error.total,counter,metrics,poll,common,"Bus errors, by bus-id / slot / msgType AND by leg (send vs receive).",Which SIDE of the bus is failing -- the leg tag is the whole point.,METERS_CONDITIONAL,NO,EsqRodObserverTest.java,"Bus error rate (msg/s);The system -- every component, live",NOT-PROVEN
messaging.feed.depth,gauge,metrics,poll,common,x-rod outbound feed queue depth (GAUGE).,Producer backpressure.,GAUGES,YES,EsqRodObserverTest.java,Feed depth (tx queue),
messaging.receive.total,counter,metrics,poll,common,"Messages RECEIVED off the bus, by bus-id / slot / msgType.",x-rod consumer throughput. Read against send.total: a widening gap is work not arriving.,METERS_EXPECTED,YES,EsqRodObserverTest.java;GateWardMeterOwnerTest.java,Bus receive rate (msg/s);Traffic per BUS (msg/s),
messaging.retry.backoff,summary,metrics,poll,common,"Send-retry backoff delays (a SUMMARY, not a timer -- it records the ms a retry waited).",How hard the send-retry sublayer is working before a message gets through.,METERS_CONDITIONAL,NO,EsqRodObserverTest.java,Send-retry: backoff (avg ms),NOT-PROVEN
messaging.retry.dropped,counter,metrics,poll,common,"Messages DROPPED by the send-retry sublayer, by bus-id / msgType.","The retry gave up: work is LOST. Conditional -- flat 0 on a healthy bus, and never silent when not.",METERS_CONDITIONAL,n/a (send-retry-max-attempts>0),EsqRodObserverTest.java,Send-retry: held + dropped (counts),
messaging.retry.held,gauge,metrics,poll,common,Send-retry held count (GAUGE).,Retry sublayer state.,GAUGES,YES,EsqRodObserverTest.java,Send-retry: held + dropped (counts),
messaging.send.duration,timer,metrics,poll,common,Bus send latency.,x-rod producer health.,METERS_EXPECTED,YES,EsqRodObserverTest.java,Bus send latency (avg + p95 ms),
messaging.send.total,counter,metrics,poll,common,"Messages SENT on the bus, by bus-id / slot / msgType.",x-rod producer throughput.,METERS_EXPECTED,YES,EsqRodObserverTest.java;MesnieMeterOwnerTest.java,Bus send latency (avg + p95 ms);Bus send rate (msg/s);Traffic per BUS (msg/s),
messaging.transport.up,gauge,metrics,poll,common,"Bus transport state per bus-id: 1 UP, 0 DOWN, -1 not yet established.",The ONLY signal that a service lost the broker while the broker stayed up.,GAUGES,YES,,,
log.stdout.backend,log-stream,logging,tail,BFF,stdout stream: the root logger's pino JSON. (develop.* / msg.* are NOT here -- logback's default !console profile writes them to FILES; only SPRING_PROFILES_ACTIVE=console puts them on stdout.),"THE log pillar for this service: Alloy tails stdout -> Loki, and correlationId in the line is the join key that makes the log<->trace hop work.",check_logging,YES,,n/a (logs are not a panel),
log.stdout.gateward,log-stream,logging,tail,gateWard,stdout stream: the root logger's ECS JSON. (develop.* / msg.* are NOT here -- logback's default !console profile writes them to FILES; only SPRING_PROFILES_ACTIVE=console puts them on stdout.),"THE log pillar for this service: Alloy tails stdout -> Loki, and correlationId in the line is the join key that makes the log<->trace hop work.",check_logging,YES,,n/a (logs are not a panel),
log.stdout.mesnie,log-stream,logging,tail,mesnie,stdout stream: the root logger's ECS JSON. (develop.* / msg.* are NOT here -- logback's default !console profile writes them to FILES; only SPRING_PROFILES_ACTIVE=console puts them on stdout.),"THE log pillar for this service: Alloy tails stdout -> Loki, and correlationId in the line is the join key that makes the log<->trace hop work.",check_logging,YES,,n/a (logs are not a panel),
log.stdout.pacman,log-stream,logging,tail,pacMan,stdout stream: the root logger's ECS JSON. (develop.* / msg.* are NOT here -- logback's default !console profile writes them to FILES; only SPRING_PROFILES_ACTIVE=console puts them on stdout.),"THE log pillar for this service: Alloy tails stdout -> Loki, and correlationId in the line is the join key that makes the log<->trace hop work.",check_logging,YES,,n/a (logs are not a panel),
scrape.activemq,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'activemq' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.esquire-bff,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'esquire-bff' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.esquire-services,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'esquire-services' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.keycloak,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'keycloak' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.otel-collector,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'otel-collector' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.otel-servicegraph,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'otel-servicegraph' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
scrape.postgres,scrape-job,metrics,poll,prometheus,Prometheus scrape job 'postgres' -- the whole target. Its series exist only while it is up.,"The COARSEST asset and the most consequential: one dead target silently removes every series it carries, and no per-meter check explains why.",check_scrape,YES,,n/a (a job is not a panel),
activemq_broker_current_connections_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Broker connections + total messages;The system -- every component, live",
activemq_broker_memory_percent_usage,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Broker usage (%);The system -- every component, live",
activemq_broker_temp_percent_usage,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Broker usage (%),
activemq_broker_total_consumer_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Broker connections + total messages,
activemq_broker_total_message_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Broker connections + total messages;The system -- every component, live",
activemq_broker_total_producer_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Broker connections + total messages,
activemq_broker_uptime_millis,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Broker JVM heap (MB) + uptime;The system -- every component, live",
activemq_topic_consumer_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Consumers / producers per destination;Consumers per destination  (the broker's view),
activemq_topic_dispatch_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Enqueue / dequeue rate (msg/s),
activemq_topic_enqueue_count,dep-metric,metrics,poll,activemq (JMX exporter :9404),"Broker queues, topics, memory and connections.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Enqueue / dequeue rate (msg/s),
agroal_active_count,dep-metric,metrics,poll,keycloak,KeyCloak's Agroal DB connection pool.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,KeyCloak DB pool (agroal),
agroal_available_count,dep-metric,metrics,poll,keycloak,KeyCloak's Agroal DB connection pool.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,KeyCloak DB pool (agroal),
hikaricp_connections,dep-metric,metrics,poll,HikariCP (Boot binder),"The DB connection pool: borrows, hold time, saturation.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Hikari DB pool -- total (solid) / in-use (dashed),
hikaricp_connections_active,dep-metric,metrics,poll,HikariCP (Boot binder),"The DB connection pool: borrows, hold time, saturation.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Hikari DB pool -- total (solid) / in-use (dashed);The system -- every component, live",
hikaricp_connections_max,dep-metric,metrics,poll,HikariCP (Boot binder),"The DB connection pool: borrows, hold time, saturation.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
hikaricp_connections_usage_seconds_count,dep-metric,metrics,poll,HikariCP (Boot binder),"The DB connection pool: borrows, hold time, saturation.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Avg DB connection hold time (ms/borrow);DB query rate (connection borrows/s),
hikaricp_connections_usage_seconds_sum,dep-metric,metrics,poll,HikariCP (Boot binder),"The DB connection pool: borrows, hold time, saturation.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Avg DB connection hold time (ms/borrow);Avg DB connections in use (time-weighted),
http_server_requests_seconds_bucket,dep-metric,metrics,poll,Spring Boot (auto),The framework's own SERVER request timer -- the metric half of every http.* Observation.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,HTTP p95 latency by replica,
http_server_requests_seconds_count,dep-metric,metrics,poll,Spring Boot (auto),The framework's own SERVER request timer -- the metric half of every http.* Observation.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"HTTP request rate by replica;KeyCloak HTTP request rate;KeyCloak avg HTTP latency (ms);The system -- every component, live;Total request rate (req/s)",
http_server_requests_seconds_sum,dep-metric,metrics,poll,Spring Boot (auto),The framework's own SERVER request timer -- the metric half of every http.* Observation.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,KeyCloak avg HTTP latency (ms),
jvm_gc_pause_seconds_sum,dep-metric,metrics,poll,JVM (Boot binder),"Heap, GC and threads for every Java service.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,GC pause rate (s/s),
jvm_memory_max_bytes,dep-metric,metrics,poll,JVM (Boot binder),"Heap, GC and threads for every Java service.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
jvm_memory_used_bytes,dep-metric,metrics,poll,JVM (Boot binder),"Heap, GC and threads for every Java service.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Broker JVM heap (MB) + uptime;JVM heap used;KeyCloak JVM memory (heap / non-heap);The system -- every component, live",
jvm_threads_live_threads,dep-metric,metrics,poll,JVM (Boot binder),"Heap, GC and threads for every Java service.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Live threads,
logback_events_total,dep-metric,metrics,poll,logback (Boot binder),Log events by level -- the metric view of the log pillar.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Log error / warn rate;The system -- every component, live",
nodejs_eventloop_lag_seconds,dep-metric,metrics,poll,Node runtime (BFF),"Event-loop lag and heap -- the BFF's own health, from collectDefaultMetrics.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,BFF event-loop lag (s) + CPU (cores) by replica,
nodejs_heap_size_used_bytes,dep-metric,metrics,poll,Node runtime (BFF),"Event-loop lag and heap -- the BFF's own health, from collectDefaultMetrics.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,BFF memory by replica (resident + heap used),
otelcol_exporter_queue_size,dep-metric,metrics,poll,otel-collector,"The Collector's own health -- spans/metrics accepted, refused, exported.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
otelcol_receiver_accepted_spans_total,dep-metric,metrics,poll,otel-collector,"The Collector's own health -- spans/metrics accepted, refused, exported.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
otelcol_receiver_refused_spans_total,dep-metric,metrics,poll,otel-collector,"The Collector's own health -- spans/metrics accepted, refused, exported.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
pg_database_size_bytes,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Postgres database size,
pg_settings_max_connections,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Postgres connections (backends);The system -- every component, live",
pg_stat_database_blks_hit,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Postgres cache hit ratio;The system -- every component, live",
pg_stat_database_blks_read,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Postgres cache hit ratio;The system -- every component, live",
pg_stat_database_numbackends,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Postgres connections (backends);The system -- every component, live",
